"","session_id","referrer","MoneyGroup","Sysjust"
"205",2430718,"charles","Control group",4.625
"206",2430722,"charles","Control group",4.125
"207",2430809,"charles","Control group",4.875
"208",2430815,"charles","Control group",2.625
"209",2430817,"charles","Money priming group",2
"210",2458124,"charles","Money priming group",3.125
"211",2458125,"charles","Money priming group",3.75
"212",2458127,"charles","Money priming group",5.375
"213",2458128,"charles","Money priming group",2.75
"214",2458129,"charles","Control group",3.125
"215",2458130,"charles","Money priming group",4.375
"216",2458136,"charles","Control group",4.25
"217",2458138,"charles","Money priming group",2.75
"218",2458139,"charles","Control group",3.5
"219",2458156,"charles","Money priming group",4.375
"220",2458158,"charles","Money priming group",2.5
"221",2458159,"charles","Control group",4.625
"222",2458160,"charles","Money priming group",2.75
"223",2458161,"charles","Money priming group",4.25
"224",2458162,"charles","Control group",3.75
"225",2458165,"charles","Control group",2.625
"226",2458168,"charles","Money priming group",3.875
"227",2458193,"charles","Money priming group",3.25
"228",2458195,"charles","Money priming group",3.125
"229",2458197,"charles","Control group",3.5
"230",2458198,"charles","Money priming group",3.875
"231",2458200,"charles","Control group",4.375
"232",2458202,"charles","Control group",4.75
"233",2467052,"charles","Control group",4
"234",2467053,"charles","Control group",4.875
"235",2467054,"charles","Money priming group",3.875
"236",2467055,"charles","Money priming group",3
"237",2467057,"charles","Money priming group",4.14285714285714
"238",2467058,"charles","Money priming group",3.5
"239",2467059,"charles","Money priming group",4
"240",2469642,"charles","Control group",3
"241",2469646,"charles","Control group",3.625
"242",2469648,"charles","Money priming group",3.625
"243",2469799,"charles","Money priming group",4.25
"244",2469803,"charles","Control group",3.625
"245",2469810,"charles","Money priming group",4
"246",2469814,"charles","Control group",2
"247",2469821,"charles","Money priming group",4.25
"248",2469823,"charles","Money priming group",4.125
"249",2469829,"charles","Control group",3.125
"250",2469833,"charles","Control group",4
"251",2471619,"charles","Money priming group",4.25
"252",2471620,"charles","Control group",3
"253",2471621,"charles","Money priming group",3.125
"254",2471623,"charles","Money priming group",4.625
"255",2471626,"charles","Money priming group",2.875
"256",2471628,"charles","Control group",4
"257",2478671,"charles","Control group",2.875
"258",2478675,"charles","Control group",4.125
"259",2478695,"charles","Money priming group",3.125
"260",2478696,"charles","Control group",4.125
"261",2478697,"charles","Control group",4
"262",2481659,"charles","Control group",1.875
"263",2481660,"charles","Control group",3.125
"264",2481672,"charles","Money priming group",4
"265",2481673,"charles","Money priming group",3.875
"266",2481674,"charles","Control group",2.625
"267",2481677,"charles","Money priming group",3.25
"268",2481691,"charles","Control group",2.875
"269",2481697,"charles","Control group",3.625
"270",2481698,"charles","Control group",5.125
"271",2481708,"charles","Control group",3.375
"272",2481827,"charles","Money priming group",3.75
"273",2481828,"charles","Control group",5.375
"274",2481830,"charles","Money priming group",3
"275",2481831,"charles","Money priming group",2.625
"276",2481833,"charles","Control group",2.875
"277",2481834,"charles","Money priming group",4.75
"278",2483864,"charles","Money priming group",3.375
"279",2483865,"charles","Money priming group",3.375
"280",2483867,"charles","Control group",4.625
"281",2483869,"charles","Money priming group",3.5
"282",2483875,"charles","Control group",4.25
"283",2483877,"charles","Control group",3
"284",2484010,"charles","Control group",4.625
"285",2484011,"charles","Money priming group",4.125
"286",2484012,"charles","Money priming group",3.25
"287",2484013,"charles","Money priming group",3.25
"288",2484014,"charles","Money priming group",3.375
