"","session_id","referrer","quoteGroup","quote"
"4236",2484525,"psu","disliked source",3
"4237",2484526,"psu","liked source",5
"4238",2484535,"psu","liked source",5
"4239",2484537,"psu","disliked source",1
"4240",2484538,"psu","disliked source",4
"4241",2484548,"psu","liked source",4
"4242",2484626,"psu","liked source",4
"4243",2484631,"psu","liked source",7
"4244",2484633,"psu","liked source",5
"4245",2484635,"psu","liked source",9
"4246",2484650,"psu","disliked source",5
"4247",2484652,"psu","liked source",4
"4248",2484726,"psu","disliked source",3
"4249",2484730,"psu","liked source",2
"4250",2484746,"psu","disliked source",4
"4251",2484761,"psu","liked source",3
"4252",2484762,"psu","disliked source",5
"4253",2484765,"psu","disliked source",5
"4254",2484829,"psu","disliked source",4
"4255",2484831,"psu","disliked source",5
"4256",2484832,"psu","disliked source",4
"4257",2484833,"psu","disliked source",5
"4258",2484835,"psu","disliked source",5
"4259",2484850,"psu","liked source",7
"4260",2484921,"psu","liked source",9
"4261",2484923,"psu","liked source",5
"4262",2484927,"psu","disliked source",7
"4263",2484936,"psu","liked source",5
"4264",2484944,"psu","disliked source",4
"4265",2490490,"psu","disliked source",8
"4266",2490493,"psu","liked source",5
"4267",2490496,"psu","disliked source",4
"4268",2490499,"psu","liked source",4
"4269",2490501,"psu","disliked source",3
"4270",2490558,"psu","liked source",6
"4271",2490564,"psu","liked source",3
"4272",2490571,"psu","disliked source",4
"4273",2490574,"psu","liked source",2
"4274",2490582,"psu","disliked source",3
"4275",2490586,"psu","liked source",6
"4276",2490596,"psu","disliked source",4
"4277",2490616,"psu","liked source",6
"4278",2490617,"psu","liked source",1
"4279",2490624,"psu","liked source",5
"4280",2490644,"psu","liked source",7
"4281",2490651,"psu","liked source",9
"4282",2490658,"psu","liked source",7
"4283",2490661,"psu","liked source",5
"4284",2490664,"psu","disliked source",4
"4285",2490682,"psu","liked source",5
"4286",2490703,"psu","liked source",1
"4287",2490714,"psu","liked source",5
"4288",2490730,"psu","liked source",5
"4289",2490736,"psu","liked source",8
"4290",2490738,"psu","disliked source",4
"4291",2490741,"psu","disliked source",3
"4292",2490743,"psu","disliked source",5
"4293",2490756,"psu","liked source",9
"4294",2490791,"psu","disliked source",5
"4295",2490804,"psu","liked source",1
"4296",2492277,"psu","disliked source",5
"4297",2492280,"psu","liked source",5
"4298",2492283,"psu","liked source",5
"4299",2492337,"psu","disliked source",6
"4300",2492339,"psu","liked source",7
"4301",2492340,"psu","liked source",7
"4302",2492360,"psu","liked source",4
"4303",2492363,"psu","disliked source",4
"4304",2492365,"psu","liked source",5
"4305",2492377,"psu","disliked source",2
"4306",2492422,"psu","liked source",1
"4307",2492424,"psu","disliked source",4
"4308",2492428,"psu","disliked source",4
"4309",2492477,"psu","liked source",7
"4310",2492480,"psu","disliked source",7
"4311",2492498,"psu","liked source",6
"4312",2492499,"psu","liked source",7
"4313",2493991,"psu","disliked source",3
"4314",2493995,"psu","disliked source",6
"4315",2493998,"psu","disliked source",3
"4316",2493999,"psu","disliked source",5
"4317",2494001,"psu","disliked source",5
"4318",2494004,"psu","disliked source",8
"4319",2494055,"psu","liked source",5
"4320",2494062,"psu","liked source",9
"4321",2494064,"psu","disliked source",5
"4322",2494069,"psu","disliked source",8
"4323",2494070,"psu","disliked source",5
"4324",2494092,"psu","disliked source",1
"4325",2494117,"psu","liked source",7
"4326",2494131,"psu","disliked source",4
"4327",2494134,"psu","disliked source",5
"4328",2494135,"psu","disliked source",9
"4329",2494139,"psu","liked source",8
"4330",2494171,"psu","liked source",8
