"","session_id","referrer","sex","d_art","iat_exclude"
"847",2483687,"ku","m",0.00481822833727697,"Include"
"848",2483760,"ku","f",-0.0589650149593703,"Include"
"849",2483819,"ku","m",0.411535970356452,"Include"
"850",2483825,"ku","f",0.618571368677001,"Include"
"851",2483870,"ku","m",0.355915003422792,"Include"
"852",2483963,"ku","f",1.27619465431246,"Include"
"853",2484027,"ku","f",0.631678131401921,"Include"
"854",2484223,"ku","f",0.810351143096503,"Include"
"856",2484282,"ku","m",0.200157158544076,"Include"
"857",2484311,"ku","m",0.0995593701450186,"Include"
"858",2484495,"ku","m",0.78012136107808,"Include"
"859",2484518,"ku","m",-0.478276475863825,"Include"
"860",2484541,"ku","f",0.210664159838317,"Include"
"861",2484655,"ku","f",0.633038682976848,"Include"
"862",2484735,"ku","f",0.441017406668286,"Include"
"863",2484763,"ku","m",-0.268438035508357,"Include"
"864",2484839,"ku","f",0.455778479376757,"Include"
"865",2484935,"ku","m",-0.576600636531577,"Include"
"866",2484964,"ku","f",1.09815170440201,"Include"
"867",2484991,"ku","f",0.227438762204469,"Include"
"868",2484998,"ku","m",-0.432586217010521,"Include"
"869",2485106,"ku","f",0.792224579375855,"Include"
"871",2485343,"ku","m",0.707809718445008,"Include"
"872",2485384,"ku","m",-0.0251419178541716,"Include"
"873",2486014,"ku","m",-0.234246612338323,"Include"
"875",2486087,"ku","f",0.543227811187973,"Include"
"876",2486120,"ku","f",0.49805459191338,"Include"
"877",2486130,"ku","f",0.546490797135287,"Include"
"878",2486139,"ku","m",0.706843012518381,"Include"
"879",2486189,"ku","m",0.895090754075348,"Include"
"880",2486238,"ku","f",1.08830277711675,"Include"
"881",2486297,"ku","f",0.109391284756028,"Include"
"882",2486389,"ku","f",0.914925519493452,"Include"
"883",2486683,"ku","f",-0.00124600839006739,"Include"
"884",2487627,"ku","m",-0.094424728500908,"Include"
"885",2487736,"ku","f",0.712981870935934,"Include"
"886",2487969,"ku","f",0.5920827082699,"Include"
"887",2487986,"ku","f",0.366010234286982,"Include"
"888",2488624,"ku","f",-0.42707996393876,"Include"
"889",2489799,"ku","f",1.54246228352884,"Include"
"890",2489978,"ku","m",0.252792460539983,"Include"
"891",2490370,"ku","m",0.0928913730294968,"Include"
"892",2491599,"ku","f",0.771523721302454,"Include"
"893",2491676,"ku","m",0.184343937417197,"Include"
"894",2492244,"ku","m",-0.104393113075028,"Include"
"895",2493467,"ku","m",0.365002895917363,"Include"
"896",2497422,"ku","m",-0.182694409805391,"Include"
"897",2497833,"ku","f",-0.133524442707587,"Include"
"898",2498540,"ku","f",1.0431915867016,"Include"
"899",2500646,"ku","f",0.159029906912234,"Include"
"901",2500657,"ku","m",0.592505338385201,"Include"
"902",2500684,"ku","f",1.10533521199413,"Include"
"903",2500701,"ku","f",-0.269978547019213,"Include"
"904",2500731,"ku","m",-0.0445207213430502,"Include"
"906",2500768,"ku","m",0.34764428877963,"Include"
"907",2500814,"ku","f",1.0559233084761,"Include"
"908",2500872,"ku","m",-0.308282531132846,"Include"
"909",2500947,"ku","f",0.720636301936506,"Include"
"910",2500948,"ku","f",0.206788981949567,"Include"
"911",2500958,"ku","f",1.20189778120047,"Include"
"912",2500977,"ku","f",-0.627843959585681,"Include"
"913",2501006,"ku","f",0.502248275200563,"Include"
"914",2501189,"ku","f",1.31387668495714,"Include"
"915",2501191,"ku","m",0.5276502359521,"Include"
"917",2501262,"ku","f",0.687879493952545,"Include"
"918",2501392,"ku","f",0.203515392041352,"Include"
"919",2501462,"ku","f",-0.567499696369685,"Include"
"921",2501765,"ku","f",0.659903856069236,"Include"
"922",2501785,"ku","f",1.13014569317571,"Include"
"923",2501908,"ku","m",-0.0100852599408255,"Include"
"924",2502030,"ku","m",-0.10218484539328,"Include"
"925",2502048,"ku","m",0.327983681868371,"Include"
"926",2502097,"ku","f",0.768888926987257,"Include"
"927",2502180,"ku","f",0.930690736820488,"Include"
"928",2503046,"ku","m",0.204127621555924,"Include"
"929",2503127,"ku","f",0.0777735888717116,"Include"
"930",2503177,"ku","f",0.310351835671178,"Include"
"931",2503211,"ku","f",0.753795979834922,"Include"
"932",2503400,"ku","m",-0.498455517688797,"Include"
"933",2503441,"ku","f",0.29092378892341,"Include"
"934",2503649,"ku","f",-0.0605052221444688,"Include"
"935",2503687,"ku","m",-0.157183601956816,"Include"
"936",2503943,"ku","m",-0.0226209276446436,"Include"
"937",2504147,"ku","m",-0.0263227717654731,"Include"
"938",2504151,"ku","f",-0.349943192875681,"Include"
"939",2504793,"ku","f",0.881703053001289,"Include"
"940",2504918,"ku","f",0.0627861909797975,"Include"
"941",2504958,"ku","f",1.09272144869272,"Include"
"942",2505085,"ku","m",-0.148723202249245,"Include"
"943",2505329,"ku","f",0.309591184846948,"Include"
"944",2505448,"ku","f",-0.0368525909806517,"Include"
"945",2505529,"ku","f",0.213167708787279,"Include"
"946",2505548,"ku","f",0.289132984856797,"Include"
"947",2505570,"ku","m",0.1931725882039,"Include"
"948",2506806,"ku","f",0.85857608558659,"Include"
"949",2506845,"ku","f",0.186627589608277,"Include"
"950",2506881,"ku","f",0.306876718679194,"Include"
"951",2507070,"ku","f",1.4562382669396,"Include"
"952",2507282,"ku","f",0.690651322222809,"Include"
"953",2509148,"ku","m",0.95757381722626,"Include"
"954",2510451,"ku","m",-0.0205053402302971,"Include"
"955",2510549,"ku","m",0.844919635260165,"Include"
"956",2510938,"ku","f",0.764923576832926,"Include"
"957",2511223,"ku","m",-0.806973701167608,"Include"
"958",2511739,"ku","f",0.150806075690697,"Include"
