"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"4520",2436706,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4521",2436967,"sdsu","allowed","does not support banning anti-democratic speeches"
"4522",2440429,"sdsu","allowed","does not support banning anti-democratic speeches"
"4523",2440430,"sdsu","allowed","does not support banning anti-democratic speeches"
"4524",2440431,"sdsu","allowed","does not support banning anti-democratic speeches"
"4525",2440596,"sdsu","allowed","does not support banning anti-democratic speeches"
"4526",2440598,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4527",2440621,"sdsu","allowed","support banning anti-democratic speeches"
"4528",2440623,"sdsu","allowed","does not support banning anti-democratic speeches"
"4529",2440733,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4530",2440734,"sdsu","allowed","does not support banning anti-democratic speeches"
"4531",2440737,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4532",2440740,"sdsu","allowed","does not support banning anti-democratic speeches"
"4533",2440881,"sdsu","allowed","does not support banning anti-democratic speeches"
"4534",2440883,"sdsu","allowed","does not support banning anti-democratic speeches"
"4535",2440885,"sdsu","allowed","does not support banning anti-democratic speeches"
"4536",2443108,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4537",2443109,"sdsu","allowed","does not support banning anti-democratic speeches"
"4538",2443110,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4539",2443367,"sdsu","allowed","does not support banning anti-democratic speeches"
"4540",2443371,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4541",2443373,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4542",2443376,"sdsu","allowed","does not support banning anti-democratic speeches"
"4543",2443761,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4544",2443763,"sdsu","allowed","does not support banning anti-democratic speeches"
"4545",2443765,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4546",2443767,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4547",2443879,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4548",2443882,"sdsu","allowed","does not support banning anti-democratic speeches"
"4549",2443886,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4550",2443887,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4551",2445906,"sdsu","allowed","does not support banning anti-democratic speeches"
"4552",2445908,"sdsu","allowed","does not support banning anti-democratic speeches"
"4553",2445912,"sdsu","allowed","support banning anti-democratic speeches"
"4554",2445951,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4555",2446069,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4556",2446072,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4557",2446074,"sdsu","allowed","does not support banning anti-democratic speeches"
"4558",2446076,"sdsu","allowed","does not support banning anti-democratic speeches"
"4559",2447580,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4560",2447581,"sdsu","allowed","does not support banning anti-democratic speeches"
"4561",2447582,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4562",2447591,"sdsu","allowed","does not support banning anti-democratic speeches"
"4563",2447692,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4564",2447693,"sdsu","allowed","support banning anti-democratic speeches"
"4565",2447744,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4566",2447904,"sdsu","allowed","does not support banning anti-democratic speeches"
"4567",2447907,"sdsu","allowed","support banning anti-democratic speeches"
"4568",2448199,"sdsu","allowed","does not support banning anti-democratic speeches"
"4569",2448201,"sdsu","allowed","does not support banning anti-democratic speeches"
"4570",2448202,"sdsu","allowed","support banning anti-democratic speeches"
"4571",2448203,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4572",2448352,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4573",2448354,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4574",2448355,"sdsu","allowed","does not support banning anti-democratic speeches"
"4575",2448359,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4576",2448429,"sdsu","allowed","support banning anti-democratic speeches"
"4577",2448430,"sdsu","allowed","does not support banning anti-democratic speeches"
"4578",2448433,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4579",2452411,"sdsu","allowed","support banning anti-democratic speeches"
"4580",2452413,"sdsu","allowed","does not support banning anti-democratic speeches"
"4581",2452422,"sdsu","allowed","does not support banning anti-democratic speeches"
"4582",2452479,"sdsu","forbidden","support banning anti-democratic speeches"
"4583",2452480,"sdsu","allowed","does not support banning anti-democratic speeches"
"4584",2452481,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4585",2452747,"sdsu","allowed","does not support banning anti-democratic speeches"
"4586",2452749,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4587",2452750,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4588",2452842,"sdsu","allowed","does not support banning anti-democratic speeches"
"4589",2452844,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4590",2452845,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4591",2452849,"sdsu","allowed","does not support banning anti-democratic speeches"
"4592",2452928,"sdsu","allowed","does not support banning anti-democratic speeches"
"4593",2452930,"sdsu","allowed","does not support banning anti-democratic speeches"
"4594",2452931,"sdsu","allowed","does not support banning anti-democratic speeches"
"4595",2452932,"sdsu","allowed","does not support banning anti-democratic speeches"
"4596",2454751,"sdsu","allowed","does not support banning anti-democratic speeches"
"4597",2454752,"sdsu","allowed","does not support banning anti-democratic speeches"
"4598",2454753,"sdsu","allowed","does not support banning anti-democratic speeches"
"4599",2455017,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4600",2455019,"sdsu","allowed","support banning anti-democratic speeches"
"4601",2455106,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4602",2455109,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4603",2455110,"sdsu","allowed","does not support banning anti-democratic speeches"
"4604",2455111,"sdsu","allowed","support banning anti-democratic speeches"
"4605",2456774,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4607",2456782,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4608",2456795,"sdsu","allowed","does not support banning anti-democratic speeches"
"4609",2456913,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4610",2456914,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4611",2456915,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4612",2456917,"sdsu","allowed","does not support banning anti-democratic speeches"
"4613",2457079,"sdsu","allowed","does not support banning anti-democratic speeches"
"4614",2457081,"sdsu","allowed","support banning anti-democratic speeches"
"4615",2457083,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4616",2457192,"sdsu","allowed","support banning anti-democratic speeches"
"4617",2457193,"sdsu","allowed","does not support banning anti-democratic speeches"
"4618",2457195,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4619",2457197,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4620",2457342,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4621",2457345,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4622",2457348,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4623",2457350,"sdsu","allowed","does not support banning anti-democratic speeches"
"4624",2458806,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4625",2458808,"sdsu","allowed","does not support banning anti-democratic speeches"
"4626",2458811,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4627",2458812,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4628",2458913,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4629",2458914,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4630",2458915,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4631",2458916,"sdsu","allowed","does not support banning anti-democratic speeches"
"4632",2461397,"sdsu","allowed","support banning anti-democratic speeches"
"4633",2461398,"sdsu","allowed","does not support banning anti-democratic speeches"
"4634",2461402,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4635",2461621,"sdsu","allowed","does not support banning anti-democratic speeches"
"4636",2461625,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4637",2461629,"sdsu","allowed","does not support banning anti-democratic speeches"
"4638",2461892,"sdsu","allowed","does not support banning anti-democratic speeches"
"4639",2461893,"sdsu","allowed","support banning anti-democratic speeches"
"4640",2461894,"sdsu","allowed","does not support banning anti-democratic speeches"
"4641",2461895,"sdsu","forbidden","support banning anti-democratic speeches"
"4642",2462430,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4643",2462431,"sdsu","allowed","does not support banning anti-democratic speeches"
"4644",2462432,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4645",2462434,"sdsu","allowed","does not support banning anti-democratic speeches"
"4646",2462501,"sdsu","allowed","support banning anti-democratic speeches"
"4647",2462503,"sdsu","allowed","does not support banning anti-democratic speeches"
"4648",2462505,"sdsu","allowed","support banning anti-democratic speeches"
"4649",2462572,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4650",2462573,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4651",2462574,"sdsu","allowed","does not support banning anti-democratic speeches"
"4652",2462575,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4653",2466137,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4654",2466138,"sdsu","forbidden","support banning anti-democratic speeches"
"4655",2466142,"sdsu","allowed","does not support banning anti-democratic speeches"
"4656",2466152,"sdsu","allowed","does not support banning anti-democratic speeches"
"4657",2466236,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4658",2466240,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4659",2466241,"sdsu","allowed","does not support banning anti-democratic speeches"
"4660",2466441,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4661",2466442,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4662",2466443,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4663",2466547,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4664",2466548,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4665",2466549,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4666",2466635,"sdsu","allowed","does not support banning anti-democratic speeches"
"4667",2466638,"sdsu","allowed","does not support banning anti-democratic speeches"
"4668",2468204,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4669",2468205,"sdsu","allowed","does not support banning anti-democratic speeches"
"4670",2468206,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4671",2468345,"sdsu","allowed","does not support banning anti-democratic speeches"
"4672",2468347,"sdsu","allowed","does not support banning anti-democratic speeches"
"4673",2468348,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4674",2468350,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4675",2468450,"sdsu","allowed","support banning anti-democratic speeches"
"4676",2468451,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4677",2468454,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4679",2468536,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4680",2468538,"sdsu","forbidden","does not support banning anti-democratic speeches"
"4681",2468539,"sdsu","forbidden","does not support banning anti-democratic speeches"
